번호,파일명,Title,Authors,Journal,Year,DOI,URL
96,0000096.pdf,"A Multicenter, Retrospective Analysis of Long-Term Survival in 255 Dogs With Pheochromocytoma Treated With Alpha-Adrenoreceptor Antagonists or Surgery (2010-2021).","Steele MME, van den Berg MF, Galac S, Dordio AM, Threlfall A, Gomes C, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70220,10.1111/jvim.70220,
97,0000097.pdf,Inadvertent Intracranial Nasogastric Tube Placement Causing Traumatic Brain Injury in a Neonatal Cat.,"Shugg R, Frederick SW, Moore SA, Powell LL.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70200,10.1111/jvim.70200,
98,0000098.pdf,Indications for Blood Cultures in Dogs and Associations With Positive Results in 323 Submissions.,"Epstein SE, Byrne BA, Sykes JE.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70228,10.1111/jvim.70228,
99,0000099.pdf,Treatment of Naproxen Overdose Using Therapeutic Plasma Exchange and Plasmaperfusion in a Dog.,"Studer KA, Iacovetta C.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70235,10.1111/jvim.70235,
100,0000100.pdf,Evaluation of the Safety and Pharmacokinetics of Single-Dose Oral Probenecid Administration in Healthy Dogs.,"Cook M, Gustafson DL, Kroeker K, Shropshire S, Zersen KM.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70221,10.1111/jvim.70221,
101,0000101.pdf,Untargeted Metabolic Profiling of Cat Urine and Plasma in Hypertension.,"Scott-Baumann J, Watson AH, Mur L, Syme HM.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70227,10.1111/jvim.70227,
102,0000102.pdf,Environmental Chemical Exposures in Boxer Dogs With Multicentric Lymphoma.,"Braman SL, Peterson HM, Tindle AN, Elbe A, Mani E, Danielson C, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70230,10.1111/jvim.70230,
103,0000103.pdf,Clonal T Cell Proliferation Induced by Acute Anaplasmosis in a Dog.,"Teichner SR, Powell LL, Mazepa AS.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70233,10.1111/jvim.70233,
104,0000104.pdf,Enriched Shotgun Sequencing to Assess the Effects of Interventions to Reduce Antimicrobial Use in Neonatal Dairy Calves.,"Flancman R, Doster E, Gomez DE, Ricker N, Morley PS, Weese JS, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70234,10.1111/jvim.70234,
105,0000105.pdf,Horner Syndrome Secondary to Suspected Internal Carotid Artery Dissection in a Golden Retriever.,"Davini T, Remelli C, Mattei C, Specchi S, Biserni R, Bernardini M, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70216,10.1111/jvim.70216,
106,0000106.pdf,Effect of Long-Term Freezing on Indirect Fluorescent Antibody Titers for the Diagnosis of Equine Protozoal Myeloencephalitis.,"Valderrama-Martinez C, Packham A, Smith W, Mendoza-Flores JE, Zheng S, Chigerwe M, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70225,10.1111/jvim.70225,
107,0000107.pdf,Risk Stratification Using Mitral INsufficiency Echocardiographic Score 2 in Dogs With Preclinical Mitral Valve Disease.,"Vezzosi T, Grosso G, Vatne L, Porciello F, Dall'Aglio E, Guglielmini C, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70215,10.1111/jvim.70215,
108,0000108.pdf,Comparing Two-Dimensional Ellipsoid Model Variants in Estimating Three-Dimensional Echocardiographic Right Ventricular Volume in Dogs.,"Ciardullo R, Tagg BE, Nesta E, Mintz SB, Pariaut R, Hsue W, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70232,10.1111/jvim.70232,
109,0000109.pdf,Epidemiologic Insights on Polyarthritis in Dogs in Primary Care Populations.,"Narita M, Hirano T, Naito E, Taira H, Yokota S, Inden T, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70213,10.1111/jvim.70213,
110,0000110.pdf,Extended Survival in a Dog With Disseminated Protothecosis.,"Landfield BG, Appleman EH, Daverio H, Guarino C, Moore ME, Gioia G, et al.",Journal of Veterinary Internal Medicine,2025 Sep-Oct;39(5):e70231,10.1111/jvim.70231,
111,0000111.pdf,"Disseminated Histoplasmosis in a Dog Treated With Amphotericin B and Itraconazole, With Assessment of Galactomannan and (1,3)-β-d-Glucan for Monitoring Treatment Response.","Ahlstrom LA, Miller M, Fradkin JM, Greene CE, Parviz T, Kidd L, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70215,10.1111/jvim.70215,
112,0000112.pdf,Influence of Inhaled Anesthetics on Pulmonary Vasculature in Dogs: A Systematic Review.,"Riccó C, Soares JH, Ambrosio AM.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70201,10.1111/jvim.70201,
113,0000113.pdf,"Diagnostic Accuracy of Hematocrit Point-of-Care Testing Using HemoCue, i-STAT, and Vetscan Instruments in Dogs.","Gutiérrez-Blanco E, Molina-Barragán E, Arce-Aburto NM, Ramírez-Bibiano DB, Magallón-Botaya MT, Ángel J, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70220,10.1111/jvim.70220,
114,0000114.pdf,Prevalence and Type of Arrhythmias in Dogs and Cats With Immune-Mediated Hemolytic Anemia.,"Benegiamo W, Piek CJ, Borgeat K.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70236,10.1111/jvim.70236,
115,0000115.pdf,Apparent Prevalence and Factors Associated With the Development of Urinary Tract Infections in Cats With Chronic Kidney Disease: A Multicenter Retrospective Study.,"Sævik BK, Toftaker I, Boge GS, Bakke AM, Palmqvist M, Jørgensen HI, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70209,10.1111/jvim.70209,
116,0000116.pdf,"Serum Cardiac Troponin I, Anemia, and Lower Body Condition Score as Predictors of Outcome in Cats With Hypertrophic Cardiomyopathy.","Surachetpong SD, Singh MK, Bussmann KD, Tobias AH.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70180,10.1111/jvim.70180,
117,0000117.pdf,"Prevalence of Increased Liver Enzyme Activities in 13,905 Dogs Presented to Primary Care Practices in the United Kingdom.","Hemida M, Geddes RF, Cave NJ, O'Neill DG, Church DB, Brodbelt DC.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70207,10.1111/jvim.70207,
118,0000118.pdf,"Variation in Fecal and Urinary Carnitine in Apparently Healthy Adult Dogs and Healthy, Nondilated Cardiomyopathy Doberman Pinschers: A Controlled Diet Study.","Ontiveros ES, Schmidt MK, Tiffany AS, Fousse SL, Bigley KE, Vyhnal KK, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70208,10.1111/jvim.70208,
119,0000119.pdf,Comparison of Routine Preoperative Diagnostic Imaging for the Detection of Mediastinal Abnormalities in Cats With Hyperthyroidism.,"van Hoorn KP, Slensky KA, Perez DA, Drobatz KJ.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70181,10.1111/jvim.70181,
120,0000120.pdf,Incidence and Risk Factors of Hospitalization of Canine Leishmania infantum-Seropositive Dogs.,"Martinez Martinez S, Marti Pons I, Tabar MD, Roura X.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70183,10.1111/jvim.70183,
121,0000121.pdf,Angiotensin-Converting Enzyme and Intercellular Adhesion Molecule-1 Concentrations in Bronchoalveolar Lavage Fluid From Dogs With Chronic Bronchitis.,"Turner KE, Andreasen CB, Rishniw M.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70204,10.1111/jvim.70204,
122,0000122.pdf,Breed-Based Percentile Curves of Whole Blood Platelet Concentration for Healthy Dogs.,"Zhang Q, Andreadou H, Sieber-Ruckstuhl NS, Spiri AM.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70186,10.1111/jvim.70186,
123,0000123.pdf,Clinical Features and Risk Factors for Outcome for Dogs and Cats With Acute Leukemia Treated With Chemotherapy.,"O'Rourke T, Saba CF, Northrup NC.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70184,10.1111/jvim.70184,
124,0000124.pdf,"Extranodal Lymphoma in Dogs: Frequency, Anatomical Sites and Histopathological Characterization (2004-2023).","Blanco B, Piñero C, Morales M, Suárez-Redondo M, Vilar JM, Ramírez AS, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70190,10.1111/jvim.70190,
125,0000125.pdf,Evaluation of Ultrasound Findings in 33 Dogs With Surgically Confirmed Gastric Perforation.,"Hwang SM, Choi S, Lee C, Choi J.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70187,10.1111/jvim.70187,
126,0000126.pdf,Frequency of Seizure Freedom and Late-Onset Seizures in Dogs Diagnosed With Meningoencephalitis of Unknown Origin Treated With Prednisolone and Cytosine Arabinoside.,"Spitzbarth I, Rosati M, Kacza J, Kramer S, Tipold A, Matiasek K.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70141,10.1111/jvim.70141,
127,0000127.pdf,Blood Lactate Concentrations in Dogs Diagnosed With Congestive Heart Failure.,"Sumner JP, Sargent HJ, Kellihan HB, Cunningham SM.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70202,10.1111/jvim.70202,
128,0000128.pdf,Long-Term Outcome of Feline Nasal Lymphoma Treated With Hypofractionated Three-Dimensional Conformal Radiation Therapy.,"Tamlin VS, Griffin LA, Gillem JM, Laver T, de Campos Fonseca Pinto AC, Mason NJ, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70214,10.1111/jvim.70214,
129,0000129.pdf,"Age, Number, Appearance, Size, and Site (ANASS) Score Can Predict Outcomes in Dogs and Cats With Cutaneous and Subcutaneous Mast Cell Tumors.","Shiu KB, Higgins RJ, Schmidt AM, Ramirez D, Motsinger-Reif A, Olby NJ, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70210,10.1111/jvim.70210,
130,0000130.pdf,Evaluation of a Point-of-Care Analyzer for Rapid Measurement of Lactate Concentrations in Blood and Peritoneal Fluid in Dogs and Cats.,"Martinez SF, Guillaumin J, Cole L, Cooper ES.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70182,10.1111/jvim.70182,
131,0000131.pdf,Outcomes of Surgical Excision and Adjuvant Radiation Therapy for Lower Urinary Tract Transitional Cell Carcinoma in Dogs: A Multi-Institutional Retrospective Study.,"Foster EJ, Charney VA, Kelsey KL, Giuffrida MA, Schrempp DR.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70197,10.1111/jvim.70197,
132,0000132.pdf,Serum Glycated Albumin/Fructosamine Ratio and its Association With Glycemic Control in Client-Owned Diabetic Cats.,"Sasaki C, Oikawa T, Tada T, Hisasue M.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70218,10.1111/jvim.70218,
133,0000133.pdf,Serum Insulin-Like Growth Factor 1 and Blood Glucose Concentrations in Diabetic and Nondiabetic Dogs and Cats.,"Davison LJ, Posch B, Hodge PJ, Hibbert A, Church DB, Niessen SJ.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70221,10.1111/jvim.70221,
134,0000134.pdf,ACVIM Consensus Statement: Canine Idiopathic Polyradiculoneuritis.,"Cuddon PA, Dewey CW, Coates JR, da Costa RC, Webb AA.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e17406,10.1111/jvim.17406,
135,0000135.pdf,Seroprevalence of Neospora caninum and Associated Risk Factors for Abortion in Farm Dogs in South Korea.,"Kim SY, Jeong W, Kim SJ, Lee JY, Kim G, Jeong YI, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70203,10.1111/jvim.70203,
136,0000136.pdf,Echocardiographic Reference Intervals for Adult Domestic Shorthair Cats in 4 Different Body Weight Groups.,"Oldach MS, Ueda Y, Ontiveros ES, Gunther-Harrington CT, Visser LC, Wood T, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70222,10.1111/jvim.70222,
137,0000137.pdf,"The Incidence, Prevalence, Breed Distribution, and Mortality Risk of Myasthenia Gravis in Dogs in the UK.","Yang B, O'Neill DG, Brodbelt DC, Church DB, Pegram C.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70212,10.1111/jvim.70212,
138,0000138.pdf,Performance of a Urine Spot Protein to Creatinine Ratio Test in the Diagnosis and Monitoring of Renal Disease in Cats.,"Lara E, Lefebvre HP, Goggs R, De Brito Galvao JF.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70205,10.1111/jvim.70205,
139,0000139.pdf,Outcome of Immune-Mediated Hemolytic Anemia Treated With Cyclosporine: 89 Cases (2010-2018).,"Toresson L, Steiner JM, Olmedal G, Larsen JA, Kovacevic AS, Suchodolski JS, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70206,10.1111/jvim.70206,
140,0000140.pdf,A Multicentric Retrospective Evaluation of Clinicopathological Findings and Long-Term Outcome in Feline Mediastinal Lymphoma.,"Zoia A, Drigo M, Massari F, Porporato F, Leo C, Comazzi S, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70200,10.1111/jvim.70200,
141,0000141.pdf,Clinical Characteristics and Risk Factors of Fanconi Syndrome in Dogs Receiving Toceranib or Masitinib.,"Jung DI, Kim S, Yoon J, Kang BT.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70199,10.1111/jvim.70199,
142,0000142.pdf,"Lung Lobe Torsion in Dogs: Signalment, Clinical, Laboratory and Imaging Findings, and Prognostic Factors for Perioperative Death.","Ribeiro TC, Sá LR, Gava FN, Beck CA, Lacerda LA, Martins DB, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70211,10.1111/jvim.70211,
143,0000143.pdf,Characterization of Inflammatory Bowel Disease in Client-Owned Cats and Dogs Using RNA-Seq to Detect Dysregulated Transcripts in Archived FFPE Tissue.,"van Kuijk SM, Gu W, Metcalfe S, Arnott E, Henry CJ.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70185,10.1111/jvim.70185,
144,0000144.pdf,"Clinical Features, Treatments, and Outcome in Cats With SARS-CoV-2 Infection.","Licitra C, Stranieri A, Oltolina C, Paltrinieri S, Decaro N, Bonsembiante F, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70176,10.1111/jvim.70176,
145,0000145.pdf,Serum Pancreatic Elastase Concentrations Before and After Pancreatic Surgery in Dogs.,"Khoramian M, Steiner JM, Smason A, Herrera MA, Twedt DC.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70189,10.1111/jvim.70189,
146,0000146.pdf,"Clinical Characteristics, Treatment, and Outcomes of Dogs With Adult-Onset Primary Hypothyroidism From a Longitudinal Study in the United Kingdom.","Ramsey H, Corah L, O'Neill DG, Church DB, Brodbelt DC, Packer RM.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70196,10.1111/jvim.70196,
147,0000147.pdf,Characterization of Canine and Feline Extrahepatic Biliary Obstruction and Feline Biliary Mucocele.,"Le AP, Deitz KC, Webster CR.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70198,10.1111/jvim.70198,
148,0000148.pdf,Evaluation of Feline Acute Intermittent Porphyria as a Cause for Elevated Urinary Porphyrin Concentrations in Cats.,"Miller E, Keating E, Rossi G, Beatty J, Ridyard A, Lyons L, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70193,10.1111/jvim.70193,
149,0000149.pdf,Evaluation of Biochemical and Clinicopathological Variables in Healthy Pregnant Cats During the Prenatal Period and at the First Postpartum Visit.,"Pérez-Morán M, Sabaté D, Chacón G.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70216,10.1111/jvim.70216,
150,0000150.pdf,Serum N-Terminal Pro-B-Type Natriuretic Peptide and High-Sensitivity Cardiac Troponin I Concentrations in Dogs With Systemic Inflammatory Response Syndrome and Sepsis With and Without Myocardial Injury.,"Boysen SR, Gommeren K, Edwards TH,Ià±esta M, Rozanski EA.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70213,10.1111/jvim.70213,
151,0000151.pdf,"Prevalence and Whole Genome Sequence Analysis of Mycoplasma bovis Isolates From Bulk Tank Milk of Dairy Farms in Tennessee, USA.","Gelgie AE, Gelalcha BD, Christensen D, Freeman T, Beever JE, Dego OK, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70164,10.1111/jvim.70164,
152,0000152.pdf,"Use of Immunosuppression, Romiplostim, and Splenectomy to Achieve Remission in a British Shorthair Cat With Primary Immune-Mediated Thrombocytopenia.","Kennils JM, Wilson HE.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70149,10.1111/jvim.70149,
153,0000153.pdf,De Novo Missense Variant in Bovine WDR33 Associated With a Complex Syndromic Form of Cleft Palate With Pentalogy of Fallot and Internal Hydrocephalus.,"Bolcato M, Romito G, Häfliger IM, Gentile A, Drögemüller C, Jacinto JGP, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70144,10.1111/jvim.70144,
154,0000154.pdf,Comparison of Dysautonomia Across Species: Current Knowledge and Future Research Opportunities.,"Atkins CN, Hahn CN, McGorum BC.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70140,10.1111/jvim.70140,
155,0000155.pdf,"Frequency, Risk Factors, and Mortality for Diabetes Mellitus in 1 225 130 Cats Under Primary Veterinary Care in the United Kingdom in 2019.","Waite O, Gostelow R, Wright E, Jepson RE, Brodbelt DC, O'Neill DG, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70161,10.1111/jvim.70161,
156,0000156.pdf,Long-Term Outcomes of Mitral Valve Repair With Artificial Chordae and Annuloplasty for Myxomatous Mitral Valve Disease in Dogs.,"Kurogochi K, Furusato S, Takahashi E, Tabata M, Mizuno M, Nii Y, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70171,10.1111/jvim.70171,
157,0000157.pdf,Long-Term Humoral Immune Response After West Nile Virus Convalescence in Horses in a Geographic Area of Multiple Orthoflavivirus Co-Circulation.,"Tolnai CH, Forgách P, Marosi A, Fehér O, Paszerbovics B, Tenk M, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70176,10.1111/jvim.70176,
158,0000158.pdf,"Long-Term Clinical Response to Medical Treatment, Behavioral Therapy, or Their Combination in Cats With Hyperesthesia Syndrome.","Pauciulo C, Uccheddu S, Corda A, Biggio F, Corlazzoli DS, Menchetti M, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70174,10.1111/jvim.70174,
159,0000159.pdf,Hypersomatotropism and Hypercortisolism Caused by a Plurihormonal Pituitary Adenoma in a Dog.,"Soler Arias EA, Rodas Elvir R, Daly AF, Kooistra HS.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70177,10.1111/jvim.70177,
160,0000160.pdf,Focal Autonomic Seizures Manifesting With Prevailing Signs of Gastrointestinal Disorder in Dogs.,"Diop S, Lyon E, Van Caenegem N, Escriou C, Freiche V, Blot S, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70158,10.1111/jvim.70158,
161,0000161.pdf,Changes in Serum Proteomic Profiles at Different Stages of Pregnancy Toxemia in Goats.,"Uztimür M, Ünal CN, Akpınar G.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70139,10.1111/jvim.70139,
162,0000162.pdf,Prevalence of Proteinuria in Dogs With Immune-Mediated Disease.,"Barton JC, German AJ, O'Connell EM.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70162,10.1111/jvim.70162,
163,0000163.pdf,"Treatment of Hypovitaminosis D With Cholecalciferol in Dogs With Protein-Losing Enteropathies: A Randomized, Double-Blind, Placebo-Controlled, Clinical Trial.","Jablonski SA, Shropshire SB, Watson VE, Manchester AC, Cridge H, Lennon EM, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70147,10.1111/jvim.70147,
164,0000164.pdf,Brain Atrophy in Dogs With Meningoencephalitis of Unknown Origin.,"Gonçalves R, Walmsley G, Maddox TW.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70095,10.1111/jvim.70095,
165,0000165.pdf,Markers of Hepatic Insulin Clearance and Their Association With Steatosis in Hyperinsulinaemic Horses.,"Dosi M, Scott L, Payne H, Poldy J, Keen J, McGorum B, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70143,10.1111/jvim.70143,
166,0000166.pdf,Identification of a Novel Mutation in the SERPINE1 Gene Causing Clinical Hyperfibrinolysis in English Springer Spaniel Dogs.,"Kilpatrick K, Cullen JN, Almeer FF, Higgins L, Markowski T, Brooks M, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70150,10.1111/jvim.70150,
167,0000167.pdf,Retrospective Evaluation of Risk Factors and Outcome in Dogs With and Without Fluid Overload During Hospitalization.,"Pfaff A, Butty EM, Rozanski EA, deLaforcade AM, Hicks JN, Berlin N, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70132,10.1111/jvim.70132,
168,0000168.pdf,Retrospective Evaluation of Transcatheter Edge-To-Edge Mitral Valve Repair in Dogs With Myxomatous Mitral Valve Disease.,"Lee JM, Youp KA, Lee ST, Lee AR, Cho YW, Jung YS, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70156,10.1111/jvim.70156,
169,0000169.pdf,"Exercise Restriction Does Not Change Outcome in Dogs After Diagnosis of Acute Non-Compressive Nucleus Pulposus Extrusion, Fibrocartilaginous Embolism, or Hydrated Nucleus Pulposus Extrusion.","Phillips K, Freeman P.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70135,10.1111/jvim.70135,
170,0000170.pdf,Twenty-Four-Hour Electrocardiographic Monitoring for Assessment of Cardiac Arrhythmias in Healthy and Hospitalized Goats.,"Sullivan A, Adin DB, Speziok SB, Haimovitz D, Holbrook TC, Luethy D, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70160,10.1111/jvim.70160,
171,0000171.pdf,"Comparison of Clinical, Laboratory, and Ultrasonographic Findings in Dogs With Acutely Presenting Clinical Signs and Either Normal or Increased Serum DGGR Lipase Activity.","Sidler M, Brugger D, Riond B, Dennler M, Unterer S, Kook PH, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70134,10.1111/jvim.70134,
172,0000172.pdf,Thoracic Ultrasonography Findings and Their Association With Respiratory Pathogens in 221 Young Beef Cattle at Fattening Farms: A Cross-Sectional Study.,"Rouault M, Foucras G, Meurens F, Assié S.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70141,10.1111/jvim.70141,
173,0000173.pdf,Preoperative Prediction Models for 30-Day All-Cause Mortality After Mitral Valve Repair in Dogs: A Single-Center Retrospective Cohort Study.,"Furusato S, Kurogochi K, Mizuno M, Shinoda S, Tanoshima R, Uechi M, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70152,10.1111/jvim.70152,
174,0000174.pdf,"Blood and Peritoneal Lactate, Ratio and Difference, and Peritoneal Lactate to Total Solids Ratio for Detection of Intestinal Strangulating Obstructions in Horses.","Parra-Moyano LA, Cedeño A, Darby S, Johnson JP, Gomez DE.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70121,10.1111/jvim.70121,
175,0000175.pdf,Long-Term Follow-Up After Acute Gastroenteritis Caused by Giardia Infection in Juvenile Dogs.,"Walz KC, Suchodolski JS, Werner M, Grimm F, Schnyder M, Zablotski Y, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70123,10.1111/jvim.70123,
176,0000176.pdf,Immunosenescence and Inflammaging in Dogs and Cats: A Narrative Review.,McKenzie BA.,Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70159,10.1111/jvim.70159,
177,0000177.pdf,Apoptosis Inhibitor of Macrophages in Cats: A Potential Link Between an Exon 3 Variant Allele and Progression of Naturally Occurring Chronic Kidney Disease.,"Evangelista GCL, Hwang JK, Broughton-Neiswanger LE, Carlo Reis EC, Court MH, Mealey KA, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70136,10.1111/jvim.70136,
178,0000178.pdf,Influence of Signalment Variables on Body Weight-Normalized Echocardiographic Measurements of Heart Size in 56 169 Adult Unsedated Normal Pure-Bred Cats.,"Häggström J, Ohlsson Å, Falk T, Wess G, Friederich J, Olsson U, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70146,10.1111/jvim.70146,
179,0000179.pdf,"Ehrlichia, Hepatozoon, and Babesia Coinfection Patterns Among Owned Dogs in Central Thailand.","Osathanon R, Saechin A, Mongkolphan C, Bhusri B, Tangsudjai S.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70154,10.1111/jvim.70154,
180,0000180.pdf,Immunological Responses to Tetanus and Influenza Vaccination in Donkeys.,"Perzyna M, Grzędzicka J, Milczek-Haduch D, Dąbrowska I, Trela M, Pawliński B, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70137,10.1111/jvim.70137,
181,0000181.pdf,The Vertebrate Breed Ontology: Toward Effective Breed Data Standardization.,"Mullen KR, Tammen I, Matentzoglu NA, Mather M, Balhoff JP, Esdaile E, et al.",Journal of Veterinary Internal Medicine,2025 Jul-Aug;39(4):e70133,10.1111/jvim.70133,
182,0000182.pdf,Presence of Potential Enteropathogenic Bacteria in Cats and Association With Diarrhea in Multicat Households.,"Bogedale K, Klein-Richers U, Felten S, Bergmann M, Pantchev N, Zablotski Y, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70138,10.1111/jvim.70138,
183,0000183.pdf,Association of Lung Consolidation Depth With Pathogens Isolated From Bronchoalveolar Lavage Fluid in Calves With Clinical Signs of Respiratory Disease.,"Clinquart J, Lowie T, Jourquin S, Bokma J, Pardon B.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70120,10.1111/jvim.70120,
184,0000184.pdf,Nasal Stimulation Response in Neurologically Normal Dogs and Cats.,"Elvira T, Sparks T, Guevar J, Aige V, Gutierrez-Quintana R, Brocal J, et al.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70118,10.1111/jvim.70118,
185,0000185.pdf,Acute Evolution of Neurological Signs and Magnetic Resonance Imaging Features in Dogs With Brain Tumors Receiving Treatment With Corticosteroids and Anticonvulsants.,"Rossmeisl JH, Garcia-Mora JK.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70126,10.1111/jvim.70126,
186,0000186.pdf,Evaluation of the Glutaraldehyde Test as a Prognostic Indicator for Short- and Long-Term Mortality in Hospitalized Adult Cattle With and Without Sepsis.,"Eckert A, Gerspach C, Gamsjäger L.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70124,10.1111/jvim.70124,
187,0000187.pdf,Fatty Acid Analysis and Stability of Selected Edible Oils Used in Homemade Pet Diets.,"Larsen JA, Stockman J, Li X, Wang SC.",Journal of Veterinary Internal Medicine,2025 May-Jun;39(3):e70119,10.1111/jvim.70119,
